vinho,preço,comentário_do_sommelier,uva,país,região,classificação,vinícola,teor_alcoólico,temperatura_de_serviço,olfativo,visual,gustativo,harmonização
Carpineto Dogajolo I.G.T. Toscano Rosso 2020,123.41,dogajolo linha renomada vinícola italiana carpineto compromisso sustentabilidade redução emissão carbono criada movida entusiasmo competência paixão produção vinhos apresentem mundo amor criadores toscana exemplar jovem envelhecido madeira caráter frutado textura macia final aveludado certamente vinhos inovadores produzidos vinícola contém características apreciadas estilo aromas frutados perfumados cores vivas profundas força juventude maturidade madeira maciez elegância tinto toscano gostoso beber agrada facilidade ótimo acompanhar jantar massas,sangiovese cabernet sauvignon outras uvas,itália,toscana,seco,carpineto,13.0,16.0,frutas vermelhas cereja folhas secas especiarias toque baunilha café,rubi médio vibrante,vinho jovem corpo médio bem estruturado frutado taninos macios acidez média final agradável,opte pratos média estrutura carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos dicas filé parmegiana filé mignon molho madeira lasanha bolonhesa risoto tomate seco mussarela búfala
Calyptra Vivendo Reserve Pinot Noir 2018,123.41,elaborado vinícola boutique calyptra exemplar traz uva pinot noir cultivada alto cachapoal altitude m amadurecida meses barricas carvalho francês achado,pinot noir,chile,alto cachapoal,seco,calyptra,14.0,15.0,frutas vermelhas floral tosta especiarias,rubi,frutado médio corpo boa acidez taninos macios amadeirado,salmão defumado atum grelhado legumes risoto requeijão penne sugo batatas recheadas queijo bacon iscas
Monte Araya Crianza D.O.Ca. Rioja 2016,105.76,crianza vinho rioja precisa ter amadurecimento diferente belíssimo exemplar meses barrica carvalho ano garrafa regiões renomadas mundo vitivinícola rioja monte araya crianza traz complexidade aromas frutas secas taninos sedosos bom corpo,garnacha tempranillo,espanha,rioja,seco,bodegas del medievo,13.5,17.0,aromas frutas secas ameixa notas cravo baunilha,rubi intenso,encorpado taninos macios final persistente,pimentão recheado carne cordeiro filé molho frutas vermelhas ensopado lentilhas fettuccine molho ossobuco
Château Terre Blanque AOC Bordeaux Rouge 2020,105.76,fundada vinícola vignobles falgueyret léglise quarta geração familiar buscando sempre retratar maneira fiel características renomado terroir bordalês blend clássico região verões quentes maior amplitude térmica preservou acidez caráter frutado vinhos concentrou aromas sabores uvas conservou mineralidade terroir resultando vinhos intensos frescos,merlot cabernet sauvignon,frança,bordeaux,seco,sarl vignobles falgueyret léglise,14.0,16.0,notas frescas frutadas morango hortelã groselha pitada flor violeta,rubi violáceo,taninos macios corpo carnudo final longo aromático frutado,carne seca abóbora linguiça cuiabana batata rústica nhoque sugo
Masseria Altemura I.G.T. Salento Falanghina 2020,115.18,mencionada primeira vez poema canto vii dialeto napolitano giulio cesare cortese falanghina variedades antigas difundidas campânia hoje amplamente plantada puglia abruzzo itália exemplar traz notas expressivas frutas cítricas pêssego damasco possui frescor acidez equilibrada boca excelente escolha harmonizar desde frutos mar risotos,falanghina,itália,salento,meio seco,masseria altemura,13.0,10.0,aromas frutas cítricas flores damasco pêssego,amarelo claro,fresco frutado acidez equilibrada,risoto caprese mix folhas queijo cabra damasco nozes casquinha siri
Bonnievale The River Collection Cabernet Sauvignon 2020,105.76,bonnievale historicamente desenvolveu redor rio breed vida área vinícola prospera cultura inovação colaboração permite cultivo seleção melhores frutas criar vinhos consistentes vibrantes região apresenta grande amplitude térmica contribui lenta maturação uvas consequente preservação acidez concentração aromas sabores nesse exemplar rainha uva tintas expressa todo potencial terroir elegância intensidade marcantes,cabernet sauvignon,áfrica do sul,bonnievale ward,seco,bonnievale wines,14.0,16.0,aromas frutas negras cereja preta notas tostado,rubi,bom corpo acidez equilibrada frutado final longo,bife ancho molho ervas ensopado carne legumes macarrão almôndegas lentilha
Joseph Pellerin Reserve A.O.C. Côtes-du-Rhône 2019,105.76,tinto estilo clássico rhône trazendo três uvas tintas importantes região grenache syrah mourvèdre assemblage conhecido mundialmente gsm,mourvèdre syrah grenache,frança,côtes du rhône,seco,joseph pellerin,14.0,15.0,ameixa amora cereja defumado pimenta,rubi,corpo leve médio acidez agradável taninos macios,pizza lombo defumado penne ragu linguiça carne panela batatas lasanha iscas filé acebolado queijos semiduros
Simbiose Regional Alent.. Tour. Nac. Tour. Franca e Alic. Bouchet 2020,105.76,vinhos portugueses reconhecidos combinação castas aproveitando melhor cada criar vinhos superiores complexidade expressão longevidade blend combina floral concentração tourigas expressão alicante bouschet resultando vinho elegante encorpado fresco intenso diferenças cria simbiose apaixonante única castas exprimem terroir estremoz norte serra d ossa terroir apaixonante marcado intensidade riqueza,touriga nacional touriga franca alicante bouschet,portugal,alentejo,seco,ségur estates,14.0,16.0,aroma frutas vermelhas notas sutis pimenta,rubi intenso,estruturado final longo agradável,filé mignon molho gorgonzola medalhão molho madeira champignon cogumelo paris recheado gorgonzola
Monte Araya D.O.Ca. Rioja Tempranillo 2018,105.76,belíssimo tempranillo premiado medalha ouro berliner wein trophy renomada região rioja denominação origem qualificada renomadas mundo bodegas del medievo apresenta monte araya tempranillo vinho muita personalidade complexidade,tempranillo,espanha,rioja,seco,bodegas del medievo,13.0,16.0,frutas vermelhas frutas negras,rubi intenso,fresco taninos redondos macios,queijo manchego filé wellington carré cordeiro cogumelo portobello recheado
Espumante Partridge Stars Rosé Brut,129.29,vinhas altitude agrelo mendonza argentina vem uvas chardonnay pinot noir elaboram espumante após segunda fermentação garrafa método tradicional vinho permanece meses contato direto borras ganhando estrutura cremosidade untuosidade maior complexidade aromas sabores espumante marcante intenso refrescante celebrar momentos memoráveis,pinot noir chardonnay,argentina,mendoza,brut,viña las perdices,12.5,8.0,aromas frutas vermelhas morango cereja,rosa claro perlage elegante persistente,macio boa acidez grande volume boca,lombo suíno geleia morango carpaccio carne tartine homus cogumelos
Apothic Rosé 2019,123.41,estilo agrada facilidade rosé possui presença marcante frutas aroma paladar integra linha californiana apothic degustado sozinho happy hour amigos harmonizado almoço família rótulo proporciona leveza descontração região origem,grenache carignan tempranillo sangiovese outras uvas,estados unidos,califórnia,meio seco,apothic,13.0,10.0,frutas vermelhas frescas,rosa claro,vinho leve frutado acidez agradável traço doçura refrescante,rosé vinho versátil pode combinado diversos pratos dica espetinho camarão frito espaguete molho rosé champignon filé frango grelhado legumes
La Mora D.O.C. Maremma Toscana Rosso 2018,123.41,blend italiano aromas frutas vermelhas morango framboesa silvestres notas folhas secas nuance madeira especiarias boca possui interessante personalidade frutado taninos macios notas especiarias maremma toscana região regulamentada recentemente elevada adicionada denominações existentes toscana qualidade premiações internacionais medalhas outro concursos mundus vini berliner wein trophy,cabernet sauvignon merlot syrah,itália,maremma toscana,seco,cecchi,13.5,15.0,frutas vermelhas morango framboesa silvestres notas folhas secas nuance madeira especiarias,rubi,personalidade frutado taninos macios notas especiarias,bife ancho batatas assadas lasanha bolonhesa mix queijos embutidos risoto rabada polenta legumes gratinados
La Mora D.O.C. Maremma Toscana Merlot 2020,123.41,maremma toscana região regulamentada recentemente elevada adicionada denominações existentes toscana aclamadas regiões vitivinícolas italianas,merlot,itália,maremma toscana,seco,cecchi,13.0,15.0,ameixa framboesa cereja folhas secas,rubi,frutado médio corpo fresco taninos sedosos,talharim carbonara lombo suíno crosta ervas escondidinho risoto linguiça toscana maminha grelhada legumes ravióli muçarela búfala tomate seco
Ace Kicker Red Blend Espanha 2018,105.76,red blend qualquer coupage uvas tintas tipo vinho elaborado cativar paladar personalidade única origem faz diferença espanhol complexidade aromática notas frutadas florais nuances baunilha cravo canela tabaco notas vêm amadurecimento meses barricas carvalho francês americano boca vinho marcante persistência longa nome tão provocante vinho melhor ace kicker jogo cartas jogo aposta melhor red blend distribua cartas espadas flores sorte lançada nesta competição enológica,cabernet franc syrah petit verdot tempranillo graciano garnacha,espanha,castilla la mancha,meio seco,finca constancia,14.0,16.0,frutas vermelhas morango cereja ameixa floral violetas notas baunilha tostado,rubi profundo,redondo encorpado taninos macios,maminha forno batatas recheadas queijo bacon ossobuco polenta espaguete bolonhesa tapas presunto cru queijos duros
Espumante Pedro Teixeira Prestige I.G. Beira Atlântico,105.76,espumante blanc blancs elaborado somente uvas brancas caso bical arinto exemplar método tradicional clássico possui segunda fermentação garrafa aportando espumante aromas complexos frutas secas mel tosta cremosidade paladar espumante perfeito momentos lazer iguarias base peixe carnes brancas grelhadas sobremesas,bical arinto,portugal,beira atlântico,extra brut,adega de cantanhede,12.5,9.0,aromas amêndoas frutas secas,amarelo claro perlage persistente,frutado fresco boa persistência,antepastos fettuccine manteiga tilápia frita abobrinhas verdes recheadas ravioli bacalhau
Château Les Sept Chênes A.O.C. Bordeaux 2019,135.18,exemplar elaborado vinícola vignoble landie uvas provenientes vinhas cerca anos idade famosa prestigiada região bordeaux frança autêntico corte bordalês uvas merlot cabernet sauvignon vinho expressa maestria terroir aromas frutados sutis toques terrosos tabaco boca aveludado taninos macios acidez agradável,merlot cabernet sauvignon,frança,bordeaux,seco,vignoble landie,13.0,15.0,frutas negras maduras amora ameixa toques terrosos tabaco,rubi,vinho jovem corpo médio frutado taninos macios acidez média agradável final,opte pratos média estrutura carnes vermelhas carnes brancas intensas molhos base tomate especiarias cogumelos dicas confit pato filé mignon molho cogumelos tagliatelle sugo
Tenuta Sant`Antonio Scaia I.G.T. Veneto Rosato 2020,135.18,rosé chegou integrar linha sucesso scaia estilo frutado fácil beber vinho traz rondinella uva tinta italiana cultivada veneto região detém vinhedos vinificada rosé exemplar buquê aromático delicado onde notas florais aromas frutados vinho leve elegante saboroso refrescante delicado traço doçura,rondinella,itália,veneto,meio seco,tenuta sant'antonio,12.5,10.0,floral leve frutado toque cítrico,salmão claro,leve frutado elegante bem estruturado acidez agradável traço doçura,aposte pratos leves carnes brancas molhos base azeite queijos cremosos pratos picantes dicas moqueca camarão frito espaguete pesto tomate cereja
Costero Reserva D.O. Valle de Leyda Syrah 2019,135.18,vinho composto syrah proveniente vale leyda vinhedos ficam km oceano pacífico brisa mar marcada frio corrente humboldt fornece condições ótimas desenvolvimento desta variedade solos deste vale principalmente graníticos geram vinhos vibrantes boca certas porcentagens argilas vermelhas conferem cremosidade volume paladar syrah característico clima frio notas herbáceas especiadas elaborado viviana navarrete eleita enóloga ano tim atkin,syrah,chile,valle de leyda,seco,viña tarapacá,13.0,15.0,aromas especiarias pimenta frutas silvestres,rubi intenso,frutado picante taninos sedosos redondos,carne sol grelhada mandioca manteiga garrafa lasanha berinjela queijos semiduros filé molho pimentas verdes
